id,code,name,x_internal_type,x_parent_id:id,reconcile,user_type_id:id
co_puc_com_1320,1320,CUENTAS POR COBRAR A VINCULADOS ECON���_MICOS,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_132005,132005,FILIALES,receivable,co_puc_com_1320,TRUE,account.data_account_type_receivable
co_puc_com_132010,132010,SUBSIDIARIAS,receivable,co_puc_com_1320,TRUE,account.data_account_type_receivable
co_puc_com_132015,132015,SUCURSALES,receivable,co_puc_com_1320,TRUE,account.data_account_type_receivable
co_puc_com_1323,1323,CUENTAS POR COBRAR A DIRECTORES,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_132305,132305,CUENTAS POR COBRAR A DIRECTORES,receivable,co_puc_com_1323,TRUE,account.data_account_type_receivable
co_puc_com_1325,1325,CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_132505,132505,A SOCIOS,receivable,co_puc_com_1325,TRUE,account.data_account_type_receivable
co_puc_com_132510,132510,A ACCIONISTAS,receivable,co_puc_com_1325,TRUE,account.data_account_type_receivable
co_puc_com_1328,1328,APORTES POR COBRAR,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_132805,132805,APORTES POR COBRAR,receivable,co_puc_com_1328,TRUE,account.data_account_type_receivable
co_puc_com_1330,1330,ANTICIPOS Y AVANCES,view,co_puc_com_13,FALSE,account.data_account_type_receivable
co_puc_com_133005,133005,A PROVEEDORES,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
co_puc_com_133010,133010,A CONTRATISTAS,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
co_puc_com_133015,133015,A TRABAJADORES,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
co_puc_com_133020,133020,A AGENTES,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
co_puc_com_133025,133025,A CONCESIONARIOS,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
co_puc_com_133030,133030,DE ADJUDICACIONES,receivable,co_puc_com_1330,TRUE,account.data_account_type_receivable
