id,code,name,reconcile,user_type_id:id,chart_template_id:id
co_puc_124010,124010,"COMPAÑÍAS DE FINANCIAMIENTO COMERCIAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_124015,124015,"CORPORACIONES FINANCIERAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_124095,124095,"OTRAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_124505,124505,"FIDEICOMISOS DE INVERSIÓN MONEDA NACIONAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_124510,124510,"FIDEICOMISOS DE INVERSIÓN MONEDA EXTRANJERA",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125005,125005,"ACCIONES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125010,125010,"CUOTAS O PARTES DE INTERÉS SOCIAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125015,125015,"BONOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125020,125020,"CÉDULAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125025,125025,"CERTIFICADOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125030,125030,"PAPELES COMERCIALES",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125035,125035,"TÍTULOS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125040,125040,"ACEPTACIONES BANCARIAS O FINANCIERAS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125095,125095,"OTROS",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125099,125099,"AJUSTES POR INFLACIÓN",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125505,125505,"BONOS DE FINANCIAMIENTO ESPECIAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125510,125510,"BONOS DE FINANCIAMIENTO PRESUPUESTAL",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
co_puc_125515,125515,"BONOS PARA DESARROLLO SOCIAL Y SEGURIDAD INTERNA (BDSI)",FALSE,account.data_account_type_current_assets,l10n_co_chart_template_generic
