"id,""code"",""name"",""reconcile"",""user_type_id:id"",""chart_template_id:id"""
"co_puc_com_129935,""129935"",""TÃ_tulos"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129940,""129940"",""Aceptaciones Bancarias O Financieras"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129945,""129945"",""Derechos Fiduciarios"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129950,""129950"",""Derechos De Recompra De Inversiones Negociadas"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129955,""129955"",""Obligatorias"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129960,""129960"",""Cuentas En ParticipaciÃ_n"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_129995,""129995"",""Otras Inversiones"",""FALSE"",""account.data_account_type_current_assets"",""l10n_co_chart_template_comercial"""
"co_puc_com_13,""13"",""Deudores"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_1305,""1305"",""Clientes"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_130505,""130505"",""Nacionales"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_130510,""130510"",""Del Exterior"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_130515,""130515"",""Deudores Del Sistema"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1310,""1310"",""Cuentas Corrientes Comerciales"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_131005,""131005"",""Casa Matriz"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131010,""131010"",""CompaÃ±Ã_as Vinculadas"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131015,""131015"",""Accionistas O Socios"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131020,""131020"",""Particulares"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131095,""131095"",""Otras"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1315,""1315"",""Cuentas Por Cobrar A Casa Matriz"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_131505,""131505"",""Ventas"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131510,""131510"",""Pagos A Nombre De Casa Matriz"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131515,""131515"",""Valores Recibidos Por Casa Matriz"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_131520,""131520"",""PrÃ©stamos"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1320,""1320"",""Cuentas Por Cobrar A Vinculados EconÃ_micos"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_132005,""132005"",""Filiales"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_132010,""132010"",""Subsidiarias"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_132015,""132015"",""Sucursales"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1323,""1323"",""Cuentas Por Cobrar A Directores"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_132305,""132305"",""Cuentas Por Cobrar A Directores"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1325,""1325"",""Cuentas Por Cobrar A Socios Y Accionistas"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_132505,""132505"",""A Socios"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_132510,""132510"",""A Accionistas"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1328,""1328"",""Aportes Por Cobrar"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_132805,""132805"",""Aportes Por Cobrar"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1330,""1330"",""Anticipos Y Avances"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_133005,""133005"",""A Proveedores"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133010,""133010"",""A Contratistas"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133015,""133015"",""A Trabajadores"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133020,""133020"",""A Agentes"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133025,""133025"",""A Concesionarios"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133030,""133030"",""De Adjudicaciones"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133095,""133095"",""Otros"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_133099,""133099"",""Ajustes Por InflaciÃ_n"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1332,""1332"",""Cuentas De OperaciÃ_n Conjunta"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
"co_puc_com_133205,""133205"",""Cuentas De OperaciÃ_n Conjunta"",""TRUE"",""account.data_account_type_receivable"",""l10n_co_chart_template_comercial"""
"co_puc_com_1335,""1335"",""DepÃ_sitos"",""FALSE"",""data_account_type_view"",""l10n_co_chart_template_comercial"""
